t=65.25, vL=1.73, vR=8.27, w=3.27
t=67.20, vL=6.21, vR=3.79, w=-1.21
t=67.25, vL=6.34, vR=3.66, w=-1.34
t=67.30, vL=6.47, vR=3.53, w=-1.47
t=67.35, vL=6.59, vR=3.41, w=-1.59
t=67.40, vL=6.72, vR=3.28, w=-1.72
t=67.45, vL=6.84, vR=3.16, w=-1.84
t=67.50, vL=6.96, vR=3.04, w=-1.96
t=67.55, vL=7.07, vR=2.93, w=-2.07
t=67.60, vL=7.18, vR=2.82, w=-2.18
t=67.65, vL=7.29, vR=2.71, w=-2.29
t=67.70, vL=7.39, vR=2.61, w=-2.39
t=67.75, vL=7.49, vR=2.51, w=-2.49
t=67.80, vL=7.59, vR=2.41, w=-2.59
t=67.85, vL=7.68, vR=2.32, w=-2.68
t=67.90, vL=7.77, vR=2.23, w=-2.77
t=67.95, vL=7.85, vR=2.15, w=-2.85
t=68.00, vL=7.93, vR=2.07, w=-2.93
t=68.05, vL=8.01, vR=1.99, w=-3.01
t=68.10, vL=8.08, vR=1.92, w=-3.08
t=68.15, vL=8.14, vR=1.86, w=-3.14
t=68.20, vL=8.20, vR=1.80, w=-3.20
t=68.25, vL=8.25, vR=1.75, w=-3.25
t=68.30, vL=8.30, vR=1.70, w=-3.30
t=68.35, vL=8.35, vR=1.65, w=-3.35
t=68.40, vL=8.38, vR=1.62, w=-3.38
t=68.45, vL=8.42, vR=1.58, w=-3.42
t=68.50, vL=8.44, vR=1.56, w=-3.44
t=68.55, vL=8.47, vR=1.53, w=-3.47
t=68.60, vL=8.48, vR=1.52, w=-3.48
t=68.65, vL=8.49, vR=1.51, w=-3.49
t=68.70, vL=8.50, vR=1.50, w=-3.50
t=68.75, vL=8.50, vR=1.50, w=-3.50
t=68.80, vL=8.49, vR=1.51, w=-3.49
t=68.85, vL=8.48, vR=1.52, w=-3.48
t=68.90, vL=8.46, vR=1.54, w=-3.46
t=68.95, vL=8.44, vR=1.56, w=-3.44
t=69.00, vL=8.41, vR=1.59, w=-3.41
t=69.05, vL=8.38, vR=1.62, w=-3.38
t=69.10, vL=8.34, vR=1.66, w=-3.34
t=69.15, vL=8.30, vR=1.70, w=-3.30
t=69.20, vL=8.25, vR=1.75, w=-3.25
t=69.25, vL=8.19, vR=1.81, w=-3.19
t=69.30, vL=8.13, vR=1.87, w=-3.13
t=69.35, vL=8.07, vR=1.93, w=-3.07
t=69.40, vL=8.00, vR=2.00, w=-3.00
t=69.45, vL=7.92, vR=2.08, w=-2.92
t=69.50, vL=7.84, vR=2.16, w=-2.84
t=69.55, vL=7.76, vR=2.24, w=-2.76
t=69.60, vL=7.67, vR=2.33, w=-2.67
t=69.65, vL=7.58, vR=2.42, w=-2.58
t=69.70, vL=7.48, vR=2.52, w=-2.48
t=69.75, vL=7.38, vR=2.62, w=-2.38
t=69.80, vL=7.28, vR=2.72, w=-2.28
t=69.85, vL=7.17, vR=2.83, w=-2.17
t=69.90, vL=7.06, vR=2.94, w=-2.06
t=69.95, vL=6.94, vR=3.06, w=-1.94
t=70.00, vL=6.83, vR=3.17, w=-1.83
t=70.05, vL=6.70, vR=3.30, w=-1.70
t=70.10, vL=6.58, vR=3.42, w=-1.58
t=70.15, vL=6.45, vR=3.55, w=-1.45
t=70.20, vL=6.33, vR=3.67, w=-1.33
t=70.25, vL=6.20, vR=3.80, w=-1.20
t=70.30, vL=6.06, vR=3.94, w=-1.06
t=70.35, vL=5.93, vR=4.07, w=-0.93
t=70.40, vL=5.79, vR=4.21, w=-0.79
t=70.45, vL=5.66, vR=4.34, w=-0.66
t=70.50, vL=5.52, vR=4.48, w=-0.52
t=70.55, vL=5.38, vR=4.62, w=-0.38
t=70.60, vL=5.24, vR=4.76, w=-0.24
t=70.65, vL=5.10, vR=4.90, w=-0.10
t=70.70, vL=4.96, vR=5.04, w=0.04
t=70.75, vL=4.82, vR=5.18, w=0.18
t=70.80, vL=4.68, vR=5.32, w=0.32
t=70.85, vL=4.54, vR=5.46, w=0.46
t=70.90, vL=4.40, vR=5.60, w=0.60
t=70.95, vL=4.27, vR=5.73, w=0.73
t=71.00, vL=4.13, vR=5.87, w=0.87
t=71.05, vL=3.99, vR=6.01, w=1.01
t=71.10, vL=3.86, vR=6.14, w=1.14
t=71.15, vL=3.73, vR=6.27, w=1.27
t=71.20, vL=3.60, vR=6.40, w=1.40
t=71.25, vL=3.47, vR=6.53, w=1.53
t=71.30, vL=3.35, vR=6.65, w=1.65
t=71.35, vL=3.23, vR=6.77, w=1.77
t=71.40, vL=3.11, vR=6.89, w=1.89
t=71.45, vL=2.99, vR=7.01, w=2.01
t=71.50, vL=2.88, vR=7.12, w=2.12
t=71.55, vL=2.77, vR=7.23, w=2.23
t=71.60, vL=2.66, vR=7.34, w=2.34
t=71.65, vL=2.56, vR=7.44, w=2.44
t=71.70, vL=2.46, vR=7.54, w=2.54
t=71.75, vL=2.37, vR=7.63, w=2.63
t=71.80, vL=2.28, vR=7.72, w=2.72
t=71.85, vL=2.19, vR=7.81, w=2.81
t=71.90, vL=2.11, vR=7.89, w=2.89
t=71.95, vL=2.03, vR=7.97, w=2.97
t=72.00, vL=1.96, vR=8.04, w=3.04
t=72.05, vL=1.89, vR=8.11, w=3.11
t=72.10, vL=1.83, vR=8.17, w=3.17
t=72.15, vL=1.78, vR=8.22, w=3.22
t=72.20, vL=1.72, vR=8.28, w=3.28
t=72.25, vL=1.68, vR=8.32, w=3.32
t=72.30, vL=1.64, vR=8.36, w=3.36
t=72.35, vL=1.60, vR=8.40, w=3.40
t=72.40, vL=1.57, vR=8.43, w=3.43
t=72.45, vL=1.54, vR=8.46, w=3.46
t=72.50, vL=1.52, vR=8.48, w=3.48
t=72.55, vL=1.51, vR=8.49, w=3.49
t=72.60, vL=1.50, vR=8.50, w=3.50
t=72.65, vL=1.50, vR=8.50, w=3.50
t=72.70, vL=1.50, vR=8.50, w=3.50
t=72.75, vL=1.51, vR=8.49, w=3.49
t=72.80, vL=1.53, vR=8.47, w=3.47
t=72.85, vL=1.55, vR=8.45, w=3.45
t=72.90, vL=1.57, vR=8.43, w=3.43
t=72.95, vL=1.60, vR=8.40, w=3.40
t=73.00, vL=1.64, vR=8.36, w=3.36
t=73.05, vL=1.68, vR=8.32, w=3.32
t=73.10, vL=1.73, vR=8.27, w=3.27
t=73.15, vL=1.78, vR=8.22, w=3.22
t=73.20, vL=1.83, vR=8.17, w=3.17
t=73.25, vL=1.90, vR=8.10, w=3.10
t=73.30, vL=1.96, vR=8.04, w=3.04
t=73.35, vL=2.04, vR=7.96, w=2.96
t=73.40, vL=2.11, vR=7.89, w=2.89
t=73.45, vL=2.19, vR=7.81, w=2.81
t=73.50, vL=2.28, vR=7.72, w=2.72
t=73.55, vL=2.37, vR=7.63, w=2.63
t=73.60, vL=2.46, vR=7.54, w=2.54
t=73.65, vL=2.56, vR=7.44, w=2.44
t=73.70, vL=2.67, vR=7.33, w=2.33
t=73.75, vL=2.77, vR=7.23, w=2.23
t=73.80, vL=2.88, vR=7.12, w=2.12
t=73.85, vL=2.99, vR=7.01, w=2.01
t=73.90, vL=3.11, vR=6.89, w=1.89
t=73.95, vL=3.23, vR=6.77, w=1.77
t=74.00, vL=3.35, vR=6.65, w=1.65
t=74.05, vL=3.48, vR=6.52, w=1.52
t=74.10, vL=3.60, vR=6.40, w=1.40
t=74.15, vL=3.73, vR=6.27, w=1.27
t=74.20, vL=3.86, vR=6.14, w=1.14
t=74.25, vL=4.00, vR=6.00, w=1.00
t=74.30, vL=4.13, vR=5.87, w=0.87
t=74.35, vL=4.27, vR=5.73, w=0.73
t=74.40, vL=4.41, vR=5.59, w=0.59
t=74.45, vL=4.55, vR=5.45, w=0.45
t=74.50, vL=4.68, vR=5.32, w=0.32
t=74.55, vL=4.82, vR=5.18, w=0.18
t=74.60, vL=4.96, vR=5.04, w=0.04
t=74.65, vL=5.10, vR=4.90, w=-0.10
t=74.70, vL=5.24, vR=4.76, w=-0.24
t=74.75, vL=5.38, vR=4.62, w=-0.38
t=74.80, vL=5.52, vR=4.48, w=-0.52
t=74.85, vL=5.66, vR=4.34, w=-0.66
t=74.90, vL=5.80, vR=4.20, w=-0.80
t=74.95, vL=5.93, vR=4.07, w=-0.93
t=75.00, vL=6.07, vR=3.93, w=-1.07
t=75.05, vL=6.20, vR=3.80, w=-1.20
t=75.10, vL=6.33, vR=3.67, w=-1.33
t=75.15, vL=6.46, vR=3.54, w=-1.46
t=75.20, vL=6.58, vR=3.42, w=-1.58
t=75.25, vL=6.71, vR=3.29, w=-1.71
t=75.30, vL=6.83, vR=3.17, w=-1.83
t=75.35, vL=6.95, vR=3.05, w=-1.95
t=75.40, vL=7.06, vR=2.94, w=-2.06
t=75.45, vL=7.17, vR=2.83, w=-2.17
t=75.50, vL=7.28, vR=2.72, w=-2.28
t=75.55, vL=7.39, vR=2.61, w=-2.39
t=75.60, vL=7.49, vR=2.51, w=-2.49
t=75.65, vL=7.58, vR=2.42, w=-2.58
t=75.70, vL=7.67, vR=2.33, w=-2.67
t=75.75, vL=7.76, vR=2.24, w=-2.76
t=75.80, vL=7.85, vR=2.15, w=-2.85
t=75.85, vL=7.93, vR=2.07, w=-2.93
t=75.90, vL=8.00, vR=2.00, w=-3.00
t=75.95, vL=8.07, vR=1.93, w=-3.07
t=76.00, vL=8.13, vR=1.87, w=-3.13
t=76.05, vL=8.19, vR=1.81, w=-3.19
t=76.10, vL=8.25, vR=1.75, w=-3.25
t=76.15, vL=8.30, vR=1.70, w=-3.30
t=76.20, vL=8.34, vR=1.66, w=-3.34
t=76.25, vL=8.38, vR=1.62, w=-3.38
t=76.30, vL=8.41, vR=1.59, w=-3.41
t=76.35, vL=8.44, vR=1.56, w=-3.44
t=76.40, vL=8.47, vR=1.53, w=-3.47
t=76.45, vL=8.48, vR=1.52, w=-3.48
t=76.50, vL=8.49, vR=1.51, w=-3.49
t=76.55, vL=8.50, vR=1.50, w=-3.50
t=76.60, vL=8.50, vR=1.50, w=-3.50
t=76.65, vL=8.49, vR=1.51, w=-3.49
t=76.70, vL=8.48, vR=1.52, w=-3.48
t=76.75, vL=8.47, vR=1.53, w=-3.47
t=76.80, vL=8.44, vR=1.56, w=-3.44
t=76.85, vL=8.42, vR=1.58, w=-3.42
t=76.90, vL=8.38, vR=1.62, w=-3.38
t=76.95, vL=8.34, vR=1.66, w=-3.34
t=77.00, vL=8.30, vR=1.70, w=-3.30
t=77.05, vL=8.25, vR=1.75, w=-3.25
t=77.10, vL=8.20, vR=1.80, w=-3.20
t=77.15, vL=8.14, vR=1.86, w=-3.14
t=77.20, vL=8.07, vR=1.93, w=-3.07
t=77.25, vL=8.00, vR=2.00, w=-3.00
t=77.30, vL=7.93, vR=2.07, w=-2.93
t=77.35, vL=7.85, vR=2.15, w=-2.85
t=77.40, vL=7.77, vR=2.23, w=-2.77
t=77.45, vL=7.68, vR=2.32, w=-2.68
t=77.50, vL=7.59, vR=2.41, w=-2.59
t=77.55, vL=7.49, vR=2.51, w=-2.49
t=77.60, vL=7.39, vR=2.61, w=-2.39
t=77.65, vL=7.29, vR=2.71, w=-2.29
t=77.70, vL=7.18, vR=2.82, w=-2.18
t=77.75, vL=7.07, vR=2.93, w=-2.07
t=77.80, vL=6.95, vR=3.05, w=-1.95
t=77.85, vL=6.83, vR=3.17, w=-1.83
t=77.90, vL=6.71, vR=3.29, w=-1.71
t=77.95, vL=6.59, vR=3.41, w=-1.59
t=78.00, vL=6.46, vR=3.54, w=-1.46
t=78.05, vL=6.34, vR=3.66, w=-1.34
t=78.10, vL=6.21, vR=3.79, w=-1.21
t=78.15, vL=6.07, vR=3.93, w=-1.07
t=78.20, vL=5.94, vR=4.06, w=-0.94
t=78.25, vL=5.80, vR=4.20, w=-0.80
t=78.30, vL=5.67, vR=4.33, w=-0.67
t=78.35, vL=5.53, vR=4.47, w=-0.53
t=78.40, vL=5.39, vR=4.61, w=-0.39
t=78.45, vL=5.25, vR=4.75, w=-0.25
t=78.50, vL=5.11, vR=4.89, w=-0.11
t=78.55, vL=4.97, vR=5.03, w=0.03
t=78.60, vL=4.83, vR=5.17, w=0.17
t=78.65, vL=4.69, vR=5.31, w=0.31
t=78.70, vL=4.55, vR=5.45, w=0.45
t=78.75, vL=4.41, vR=5.59, w=0.59
t=78.80, vL=4.28, vR=5.72, w=0.72
t=78.85, vL=4.14, vR=5.86, w=0.86
t=78.90, vL=4.01, vR=5.99, w=0.99
t=78.95, vL=3.87, vR=6.13, w=1.13
t=79.00, vL=3.74, vR=6.26, w=1.26
t=79.05, vL=3.61, vR=6.39, w=1.39
t=79.10, vL=3.48, vR=6.52, w=1.52
t=79.15, vL=3.36, vR=6.64, w=1.64
t=79.20, vL=3.24, vR=6.76, w=1.76
t=79.25, vL=3.12, vR=6.88, w=1.88
t=79.30, vL=3.00, vR=7.00, w=2.00
t=79.35, vL=2.89, vR=7.11, w=2.11
t=79.40, vL=2.78, vR=7.22, w=2.22
t=79.45, vL=2.67, vR=7.33, w=2.33
t=79.50, vL=2.57, vR=7.43, w=2.43
t=79.55, vL=2.47, vR=7.53, w=2.53
t=79.60, vL=2.37, vR=7.63, w=2.63
t=79.65, vL=2.28, vR=7.72, w=2.72
t=79.70, vL=2.20, vR=7.80, w=2.80
t=79.75, vL=2.12, vR=7.88, w=2.88
t=79.80, vL=2.04, vR=7.96, w=2.96
t=79.85, vL=1.97, vR=8.03, w=3.03
t=79.90, vL=1.90, vR=8.10, w=3.10
t=79.95, vL=1.84, vR=8.16, w=3.16
t=80.00, vL=1.78, vR=8.22, w=3.22
t=80.05, vL=1.73, vR=8.27, w=3.27
t=80.10, vL=1.68, vR=8.32, w=3.32
t=80.15, vL=1.64, vR=8.36, w=3.36
t=80.20, vL=1.60, vR=8.40, w=3.40
t=80.25, vL=1.57, vR=8.43, w=3.43
t=80.30, vL=1.55, vR=8.45, w=3.45
t=80.35, vL=1.53, vR=8.47, w=3.47
t=80.40, vL=1.51, vR=8.49, w=3.49
t=80.45, vL=1.50, vR=8.50, w=3.50
t=80.50, vL=1.50, vR=8.50, w=3.50
t=80.55, vL=1.50, vR=8.50, w=3.50
t=80.60, vL=1.51, vR=8.49, w=3.49
t=80.65, vL=1.52, vR=8.48, w=3.48
t=80.70, vL=1.54, vR=8.46, w=3.46
t=80.75, vL=1.57, vR=8.43, w=3.43
t=80.80, vL=1.60, vR=8.40, w=3.40
t=80.85, vL=1.63, vR=8.37, w=3.37
t=80.90, vL=1.67, vR=8.33, w=3.33
t=80.95, vL=1.72, vR=8.28, w=3.28
t=81.00, vL=1.77, vR=8.23, w=3.23
t=81.05, vL=1.83, vR=8.17, w=3.17
t=81.10, vL=1.89, vR=8.11, w=3.11
t=81.15, vL=1.96, vR=8.04, w=3.04
t=81.20, vL=2.03, vR=7.97, w=2.97
t=81.25, vL=2.11, vR=7.89, w=2.89
t=81.30, vL=2.19, vR=7.81, w=2.81
t=81.35, vL=2.27, vR=7.73, w=2.73
t=81.40, vL=2.36, vR=7.64, w=2.64
t=81.45, vL=2.46, vR=7.54, w=2.54
t=81.50, vL=2.55, vR=7.45, w=2.45
t=81.55, vL=2.66, vR=7.34, w=2.34
t=81.60, vL=2.76, vR=7.24, w=2.24
t=81.65, vL=2.87, vR=7.13, w=2.13
t=81.70, vL=2.99, vR=7.01, w=2.01
t=81.75, vL=3.10, vR=6.90, w=1.90
t=81.80, vL=3.22, vR=6.78, w=1.78
t=81.85, vL=3.34, vR=6.66, w=1.66
t=81.90, vL=3.47, vR=6.53, w=1.53
t=81.95, vL=3.59, vR=6.41, w=1.41
t=82.00, vL=3.72, vR=6.28, w=1.28
t=82.05, vL=3.85, vR=6.15, w=1.15
t=82.10, vL=3.99, vR=6.01, w=1.01
t=82.15, vL=4.12, vR=5.88, w=0.88
t=82.20, vL=4.26, vR=5.74, w=0.74
t=82.25, vL=4.40, vR=5.60, w=0.60
t=82.30, vL=4.53, vR=5.47, w=0.47
t=82.35, vL=4.67, vR=5.33, w=0.33
t=82.40, vL=4.81, vR=5.19, w=0.19
t=82.45, vL=4.95, vR=5.05, w=0.05
